case_id,db_year
9017200,2021
9017227,2021
9017246,2021
9017258,2021
9017287,2021
9017297,2021
9017309,2021
9017317,2021
9017318,2021
9017319,2021
9017330,2021
9017338,2021
9017363,2021
9017395,2021
9017424,2021
9017467,2021
9017476,2021
9017496,2021
9017517,2021
9017569,2021
9017571,2021
9017586,2021
9017587,2021
9017619,2021
9017638,2021
9017639,2021
9017654,2021
9017666,2021
9017773,2021
9018173,2021
9018214,2021
9018243,2021
9018256,2021
9018279,2021
9018283,2021
9018286,2021
9018293,2021
9018308,2021
9018326,2021
9018341,2021
9018386,2021
9018405,2021
9018413,2021
9018415,2021
9018435,2021
9018455,2021
9018459,2021
9018467,2021
9018480,2021
9018675,2021
9018699,2021
9018808,2021
9018832,2021
9018896,2021
9018960,2021
9019359,2021
9019495,2021
9019557,2021
9019560,2021
9019572,2021
9019574,2021
9019576,2021
9019581,2021
9019588,2021
9019596,2021
9019612,2021
9019666,2021
9019833,2021
9019837,2021
9021603,2021
9021607,2021
9021615,2021
9021618,2021
9021635,2021
9021638,2021
9021679,2021
9022015,2021
9022073,2021
9022404,2021
9022412,2021
9022611,2021
9022619,2021
9023057,2021
9023144,2021
9023673,2021
9023698,2021
9023701,2021
9023734,2021
9023738,2021
9023746,2021
9023930,2021
9025086,2021
9025089,2021
9025099,2021
9025100,2021
9025118,2021
9025124,2021
9025141,2021
9025148,2021
9025177,2021
9025361,2021
9025377,2021
9025394,2021
9025397,2021
9025399,2021
9025409,2021
9025422,2021
9025427,2021
9025430,2021
9025448,2021
9025452,2021
9025453,2021
9025469,2021
9025490,2021
9025530,2021
9025534,2021
9025538,2021
9025548,2021
9025551,2021
9025555,2021
9025559,2021
9025571,2021
9025584,2021
9025588,2021
9025590,2021
9025596,2021
9025599,2021
9025601,2021
9025612,2021
9025613,2021
9025636,2021
9025665,2021
9025670,2021
9025683,2021
9025686,2021
9025689,2021
9025692,2021
9025705,2021
9025738,2021
9025790,2021
9025799,2021
9025810,2021
9025844,2021
9025848,2021
9025851,2021
9025852,2021
9025866,2021
9025868,2021
9025870,2021
9025894,2021
9025907,2021
9025923,2021
9025927,2021
9025932,2021
9025939,2021
9025940,2021
9025944,2021
9025951,2021
9025954,2021
9025965,2021
9025970,2021
9025973,2021
9025974,2021
9025975,2021
9025978,2021
9025982,2021
9025984,2021
9025998,2021
9026009,2021
9026050,2021
9026075,2021
9026110,2021
9026171,2021
9026179,2021
9026219,2021
9026273,2021
9026277,2021
9026330,2021
9026331,2021
9026350,2021
9026379,2021
9026396,2021
9026420,2021
9026434,2021
9026452,2021
9026459,2021
9026469,2021
9026487,2021
9026496,2021
9026559,2021
9026595,2021
9026596,2021
9026616,2021
9026617,2021
9026630,2021
9026726,2021
9026730,2021
9026762,2021
9026854,2021
9026887,2021
9026919,2021
9026935,2021
9027024,2021
9027159,2021
9027208,2021
9027219,2021
9027272,2021
9027275,2021
9027366,2021
9027392,2021
9027393,2021
9027461,2021
9027463,2021
9027711,2021
9027743,2021
9028050,2021
9028174,2021
9028186,2021
